Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,162,0,13,18.864290333528324,7.290374982403591,127.60420801350847,224.41975308641975,1.8147572200997872,0.0,13,17,21,23,30,38,110,130,130,130,130
GET,[Stats] Get User Stats,281,0,15,18.968443778174468,8.226957987062633,128.91245799255557,66.94306049822065,3.147819622518767,0.0,15,19,22,24,30,35,50,98,130,130,130
POST,[Tasks] Create,477,42,14,20.98526536730856,5.787083005998284,1041.0406670125667,334.9496855345912,5.343451814738263,0.47049261261846337,14,18,22,23,32,37,110,120,1000,1000,1000
DELETE,[Tasks] Delete,66,1,15,19.166811183271363,8.279333007521927,104.30300000007264,0.9696969696969697,0.7393455341147281,0.011202205062344366,15,18,20,22,33,39,81,100,100,100,100
GET,[Tasks] Get Single,328,29,13,18.211190536598355,5.254459014395252,140.48466601525433,332.2256097560976,3.674323260448952,0.32486394680798664,13,18,21,23,27,38,110,120,140,140,140
GET,[Tasks] List All,1745,128,14,19.10148171027842,4.761457996210083,140.37670800462365,7550.646418338109,19.547847833790918,1.4338822479800788,14,18,21,24,30,39,100,120,140,140,140
GET,[Tasks] List Filtered,490,41,13,18.83528294411193,6.4196669845841825,143.32716600620188,2370.877551020408,5.489080480548739,0.459290407556119,13,17,20,24,31,37,120,130,140,140,140
PATCH,[Tasks] Mark Complete,65,3,11,19.271762889380064,6.7816250084433705,139.02150001376867,348.8,0.7281433290523838,0.0336066151870331,11,15,21,24,36,45,96,140,140,140,140
PATCH,[Tasks] Mark Incomplete,55,3,14,18.849411326862704,7.893000001786277,141.37949998257682,338.3090909090909,0.6161212784289402,0.0336066151870331,14,18,20,24,31,51,53,140,140,140,140
PUT,[Tasks] Update,176,10,14,19.281810851349622,4.880708002019674,141.64512499701232,344.84659090909093,1.9715880909726085,0.11202205062344366,14,17,20,21,28,47,100,140,140,140,140
,Aggregated,3845,257,14,19.21424044152935,4.761457996210083,1041.0406670125667,3839.675422626788,43.07247846471409,2.878966701022502,14,18,21,24,30,38,100,120,140,1000,1000
