Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,12,0,9,9.240538007967794,4.733708017738536,13.694916007807478,223.41666666666666,0.17652674996604611,0.0,11,12,13,13,13,14,14,14,14,14,14
GET,[Stats] Get User Stats,23,0,16,14.683574258410575,5.844458995852619,23.259125009644777,66.6086956521739,0.3383429374349217,0.0,16,17,17,17,20,21,23,23,23,23,23
POST,[Tasks] Create,45,0,12,12.942685196564222,5.423416994744912,25.6154999951832,354.55555555555554,0.6619753123726729,0.0,12,15,16,17,18,24,26,26,26,26,26
DELETE,[Tasks] Delete,10,0,10,10.048808497958817,4.683250008383766,14.950958982808515,0.0,0.1471056249717051,0.0,11,12,15,15,15,15,15,15,15,15,15
GET,[Tasks] Get Single,28,0,11,11.595495609591515,4.0289580065291375,20.362709008622915,353.42857142857144,0.41189574992077427,0.0,12,14,14,16,18,19,20,20,20,20,20
GET,[Tasks] List All,120,0,14,14.08651182500762,5.0458749756217,26.325124985305592,4610.508333333333,1.7652674996604611,0.0,14,17,18,18,19,22,26,26,26,26,26
GET,[Tasks] List Filtered,48,0,14,14.388415645347171,4.587333009112626,23.543624993180856,1482.5,0.7061069998641845,0.0,15,17,19,19,21,23,24,24,24,24,24
PATCH,[Tasks] Mark Complete,10,0,12,12.797666501137428,6.436541996663436,20.250708010280505,335.8,0.1471056249717051,0.0,15,15,17,18,20,20,20,20,20,20,20
PATCH,[Tasks] Mark Incomplete,2,0,8,9.417082997970283,7.645290985237807,11.188875010702759,408.5,0.02942112499434102,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,[Tasks] Update,10,0,17,16.19575820514001,9.564459003740922,22.855250019347295,362.7,0.1471056249717051,0.0,17,18,19,20,23,23,23,23,23,23,23
,Aggregated,308,0,13,13.460991048600295,4.0289580065291375,26.325124985305592,2150.2824675324673,4.5308532491285165,0.0,13,16,17,18,19,22,24,26,26,26,26
