Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,37,0,17,21.340227459330816,8.619499974884093,77.11137502337806,226.32432432432432,0.5360906736946207,0.0,17,20,23,25,34,76,77,77,77,77,77
GET,[Stats] Get User Stats,48,0,23,23.510032980387525,11.487500014482066,55.33470900263637,66.72916666666667,0.6954689820903187,0.0,23,26,28,29,33,36,55,55,55,55,55
POST,[Tasks] Create,92,0,17,21.203887747264083,8.931040996685624,83.38899997761473,362.5652173913044,1.3329822156731108,0.0,18,22,24,25,31,51,81,83,83,83,83
DELETE,[Tasks] Delete,18,0,18,23.824817111340558,9.083249984541908,82.42925000377,0.0,0.2608008682838695,0.0,20,25,29,31,32,82,82,82,82,82,82
GET,[Tasks] Get Single,58,0,17,20.837385895368964,7.756000006338581,77.71125002182089,353.2586206896552,0.8403583533591351,0.0,17,22,23,27,34,57,60,78,78,78,78
GET,[Tasks] List All,323,0,18,20.01009536818774,8.087624999461696,83.49091702257283,5016.597523219814,4.67992669198277,0.0,18,21,23,24,30,37,59,65,83,83,83
GET,[Tasks] List Filtered,102,0,16,18.397935873009356,8.463083009701222,80.64366699545644,1712.235294117647,1.4778715869419272,0.0,16,19,21,22,25,30,47,58,81,81,81
PATCH,[Tasks] Mark Complete,10,0,16,17.440099798841402,11.30716601619497,24.771499971393496,362.4,0.1448893712688164,0.0,16,17,22,24,25,25,25,25,25,25,25
PATCH,[Tasks] Mark Incomplete,13,0,14,16.36774346115999,9.822874999372289,26.359832991147414,358.9230769230769,0.1883561826494613,0.0,14,20,20,24,25,26,26,26,26,26,26
PUT,[Tasks] Update,29,0,19,19.51193830985897,12.221084005432203,46.72629199922085,352.82758620689657,0.42017917667956756,0.0,19,22,24,24,25,26,47,47,47,47,47
,Aggregated,730,0,17,20.272768354354337,7.756000006338581,83.49091702257283,2573.908219178082,10.576924102623597,0.0,18,21,23,25,30,37,59,77,83,83,83
