Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768677386,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677387,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677388,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677389,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677390,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677391,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677392,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677393,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677394,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677395,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768677396,10,,Aggregated,0.000000,0.000000,59,59,60,60,62,62,62,62,62,62,62,10,0,59,58.584162598708645,54.56883297301829,61.65095901815221,1604.1
1768677397,20,,Aggregated,0.000000,0.000000,76,82,83,83,84,84,84,84,84,84,84,20,0,62,70.31019999994896,54.56883297301829,84.1647089982871,1524.35
1768677398,30,,Aggregated,0.000000,0.000000,76,81,82,82,84,84,84,84,84,84,84,37,0,76,64.14409235160723,12.34291700529866,84.49987499625422,1526.054054054054
1768677399,40,,Aggregated,1.000000,0.000000,61,73,81,82,83,84,84,84,84,84,84,60,0,60,55.26349656720413,9.224665991496295,84.49987499625422,1698.45
1768677400,50,,Aggregated,2.500000,0.000000,60,73,80,81,83,84,84,84,84,84,84,83,0,60,53.78054068613158,9.224665991496295,84.49987499625422,1889.2289156626507
1768677401,60,,Aggregated,4.400000,0.000000,58,65,73,79,82,84,84,84,84,84,84,116,0,57,47.19369003452874,8.45554200350307,84.49987499625422,1851.9568965517242
1768677402,70,,Aggregated,6.600000,0.000000,36,65,72,74,82,83,84,84,84,84,84,153,0,36,43.46811681627479,8.45554200350307,84.49987499625422,1952.6013071895425
1768677403,80,,Aggregated,9.700000,0.000000,29,61,70,73,81,82,84,84,84,84,84,190,0,29,40.83799077856575,8.45554200350307,84.49987499625422,2021.7421052631578
1768677404,90,,Aggregated,13.200000,0.000000,24,60,66,71,79,82,84,84,84,84,84,235,0,24,37.97024539969069,8.302834001369774,84.49987499625422,2049.446808510638
1768677405,100,,Aggregated,17.000000,0.000000,23,59,65,69,76,82,84,84,84,84,84,287,0,23,36.55464997886638,7.363791984971613,84.49987499625422,2116.1811846689898
1768677406,100,,Aggregated,21.500000,0.000000,20,36,62,66,74,81,83,84,84,84,84,334,0,20,33.4945091106169,7.363791984971613,84.49987499625422,2153.24251497006
1768677407,100,,Aggregated,26.600000,0.000000,19,30,59,64,73,81,83,84,84,84,84,388,0,19,31.555853628663865,7.363791984971613,84.49987499625422,2159.1829896907216
1768677408,100,,Aggregated,31.800000,0.000000,17,26,49,61,73,80,83,84,84,84,84,430,0,17,29.75203429530158,7.363791984971613,84.49987499625422,2172.446511627907
1768677409,100,,Aggregated,35.700000,0.000000,17,23,35,59,72,77,82,84,84,84,84,488,0,17,28.04919627675697,7.363791984971613,84.49987499625422,2198.5758196721313
1768677410,100,,Aggregated,38.700000,0.000000,16,22,30,49,71,76,82,84,84,84,84,531,0,16,26.997923715524166,7.134500017855316,84.49987499625422,2184.5273069679847
1768677411,100,,Aggregated,42.200000,0.000000,16,21,29,37,68,76,82,84,84,84,84,584,0,16,25.942705539457837,7.134500017855316,84.49987499625422,2220.845890410959
1768677412,100,,Aggregated,45.100000,0.000000,16,21,26,34,67,75,82,83,84,84,84,631,0,16,25.06848658633746,7.134500017855316,84.49987499625422,2264.565768621236
1768677413,100,,Aggregated,46.300000,0.000000,16,20,25,33,66,74,82,83,84,84,84,679,0,16,24.400110080687668,7.134500017855316,84.49987499625422,2315.303387334315
1768677414,100,,Aggregated,48.700000,0.000000,16,20,25,30,65,74,82,83,84,84,84,722,0,16,23.90811391104815,7.134500017855316,84.49987499625422,2339.5817174515237
1768677415,100,,Aggregated,49.400000,0.000000,16,20,24,29,64,73,82,83,84,84,84,783,0,16,23.593814598573644,7.134500017855316,84.49987499625422,2366.616858237548
1768677416,100,,Aggregated,49.300000,0.000000,15,20,24,29,62,73,81,83,84,84,84,833,0,15,23.17058898170064,7.134500017855316,84.49987499625422,2382.9675870348137
1768677417,100,,Aggregated,49.800000,0.000000,15,20,24,29,61,72,81,83,84,84,84,884,0,15,22.99807574173959,7.134500017855316,84.49987499625422,2377.8947963800906
1768677418,100,,Aggregated,49.600000,0.000000,15,20,24,29,60,72,81,82,84,84,84,935,0,15,22.570829723810995,7.134500017855316,84.49987499625422,2428.5454545454545
1768677419,100,,Aggregated,49.900000,0.000000,15,20,24,28,59,72,81,82,84,84,84,976,0,15,22.327656124795542,7.134500017855316,84.49987499625422,2463.2008196721313
1768677420,100,,Aggregated,50.400000,0.000000,15,20,23,27,57,71,80,82,84,84,84,1027,0,15,21.98830595020769,7.134500017855316,84.49987499625422,2509.740993184031
1768677421,100,,Aggregated,48.700000,0.000000,15,19,23,27,55,71,80,82,84,84,84,1078,0,15,21.617949409024828,7.134500017855316,84.49987499625422,2537.4332096474955
1768677422,100,,Aggregated,48.900000,0.000000,15,19,22,26,48,69,79,82,84,84,84,1127,0,15,21.34512969834078,7.134500017855316,84.49987499625422,2560.8527062999115
1768677423,100,,Aggregated,50.100000,0.000000,15,19,22,26,45,68,79,82,84,84,84,1175,0,15,21.10730847920925,7.134500017855316,84.49987499625422,2577.7931914893616
1768677424,100,,Aggregated,48.600000,0.000000,15,19,22,25,42,67,77,82,84,84,84,1227,0,15,20.901805966649054,7.134500017855316,84.49987499625422,2554.637326813366
1768677425,100,,Aggregated,49.500000,0.000000,15,19,22,25,41,67,76,82,84,84,84,1278,0,15,20.816232401517645,7.134500017855316,84.49987499625422,2586.8990610328638
1768677426,100,,Aggregated,50.200000,0.000000,15,19,22,25,40,66,76,82,84,84,84,1326,0,15,20.673600936780485,7.134500017855316,84.49987499625422,2608.8770739064857
1768677427,100,,Aggregated,49.200000,0.000000,15,19,22,25,39,66,76,82,84,84,84,1373,0,15,20.517126855263058,7.134500017855316,84.49987499625422,2645.3364894391843
1768677428,100,,Aggregated,48.900000,0.000000,15,19,22,25,39,66,76,82,84,84,84,1420,0,15,20.3600970677938,7.134500017855316,84.49987499625422,2691.744366197183
1768677429,100,,Aggregated,49.300000,0.000000,14,19,22,24,39,65,76,82,84,84,84,1471,0,14,20.125054782629235,7.134500017855316,84.49987499625422,2674.5071380013596
1768677430,100,,Aggregated,48.100000,0.000000,14,18,21,24,37,65,75,82,84,84,84,1512,0,14,19.946324129840058,7.134500017855316,84.49987499625422,2701.4060846560847
